"","software","category"
"1","ALIFRITZ","Maximum likelihood methods;Tree-based sequence alignment"
"2","ALIGN","Tree-based sequence alignment"
"3","aLRT","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"4","AMBIORE","Bayesian inference methods"
"5","analysis","Computation of distances"
"6","ANC-GENE","Distance matrix methods;Bayesian inference methods"
"7","Ancestor","Distance matrix methods"
"8","ANCML","Comparative method analysis"
"9","APE","Distance matrix methods;Computation of distances;Comparative method analysis;Examination of shapes of trees;Clocks, dating and stratigraphy;Tree plotting/drawing"
"10","apTreeshape","Simulation of trees or data;Examination of shapes of trees"
"11","ARB","General-purpose packages;Parsimony programs;Distance matrix methods;Maximum likelihood methods;Interactive tree manipulation;Tree plotting/drawing;Sequence management/job submission"
"12","ArboDraw","Interactive tree manipulation;Tree-based sequence alignment;Tree plotting/drawing"
"13","Archaeopteryx","Tree plotting/drawing"
"14","Arlequin","Distance matrix methods;Computation of distances"
"15","AutoDecay","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"16","AxParafit","Biogeographic analysis and host-parasite comparison"
"17","BAli-Phy","Bayesian inference methods;Tree-based sequence alignment"
"18","BAMBE","Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"19","BayesPhylogenies","Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"20","BayesTraits","Comparative method analysis;Model Selection"
"21","BEAST","Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Clocks, dating and stratigraphy"
"22","BEST","Bayesian inference methods"
"23","Bio::Phylo","Simulation of trees or data;Examination of shapes of trees"
"24","Bio::Phylo S-DIVA","Tree plotting/drawing"
"25","Bio++","General-purpose packages;Distance matrix methods;Computation of distances;Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Tree plotting/drawing"
"26","BioEdit","Sequence management/job submission"
"27","Bioinformatics_Toolbox","Distance matrix methods;Computation of distances;Interactive tree manipulation;Tree plotting/drawing"
"28","Bioinformatics_Toolbox EMBOSS","Sequence management/job submission"
"29","BIONJ","Distance matrix methods"
"30","Bionumerics","General-purpose packages;Parsimony programs;Distance matrix methods;Computation of distances;Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Tree plotting/drawing;Sequence management/job submission"
"31","BIRCH","General-purpose packages;Parsimony programs;Distance matrix methods;Maximum likelihood methods;Invariants (or Evolutionary Parsimony) methods;Interactive tree manipulation;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Compatibility analysis;Consensus trees, subtrees, supertrees, and distances between trees;Tree-based sequence alignment;Comparative method analysis;Clocks, dating and stratigraphy;Tree plotting/drawing;Sequence management/job submission"
"32","bms_runner","Bayesian inference methods;Gene duplication and genomic analysis;Comparative method analysis"
"33","Bn-Bs","Distance matrix methods;Computation of distances"
"34","BootPHYML","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"35","Bosque","General-purpose packages;Parsimony programs;Distance matrix methods;Maximum likelihood methods;Quartets methods;Tree-based sequence alignment;Sequence management/job submission"
"36","BPAnalysis","Parsimony programs;Gene duplication and genomic analysis"
"37","BRANCHLENGTH","Examination of shapes of trees;Clocks, dating and stratigraphy"
"38","Brownie","Clocks, dating and stratigraphy"
"39","burntrees","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"40","burntrees Bio++","Bayesian inference methods"
"41","Cactus-Pie","Clocks, dating and stratigraphy"
"42","Cactus-Pie Phylocom","Comparative method analysis"
"43","Cadence","Bayesian inference methods"
"44","Cadence Multidivtime","Clocks, dating and stratigraphy"
"45","CAFCA","Parsimony programs"
"46","CAIC","Comparative method analysis"
"47","CBCAnalyzer","Distance matrix methods"
"48","cBrother","Looking for hybridization or recombination events"
"49","Clann","Consensus trees, subtrees, supertrees, and distances between trees"
"50","ClustalW","Tree-based sequence alignment"
"51","CodeAxe","Maximum likelihood methods"
"52","CodonBootstrap","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"53","CodonRates","Clocks, dating and stratigraphy"
"54","CoMET","Maximum likelihood methods"
"55","COMPARE","Comparative method analysis;Simulation of trees or data"
"56","COMPONENT","Consensus trees, subtrees, supertrees, and distances between trees;Biogeographic analysis and host-parasite comparison;Simulation of trees or data"
"57","COMPROB","Compatibility analysis"
"58","Concaterpillar","Maximum likelihood methods;Looking for hybridization or recombination events;Model Selection"
"59","CONSEL EDIBLE","Maximum likelihood methods"
"60","CONSEL Populations","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"61","CONSERVE","Description or prediction of data from trees"
"62","CoRe-PA","Biogeographic analysis and host-parasite comparison"
"63","CRANN Mesquite","Parsimony programs"
"64","Crux","General-purpose packages;Distance matrix methods;Computation of distances;Maximum likelihood methods;Bayesian inference methods;Interactive tree manipulation;Consensus trees, subtrees, supertrees, and distances between trees;Simulation of trees or data"
"65","CTree","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Examination of shapes of trees;Tree plotting/drawing"
"66","DAMBE","General-purpose packages;Parsimony programs;Distance matrix methods;Computation of distances;Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Tree-based sequence alignment;Tree plotting/drawing;Sequence management/job submission"
"67","DART","Maximum likelihood methods;Tree-based sequence alignment;Gene duplication and genomic analysis;Model Selection"
"68","Darwin","Computation of distances;Maximum likelihood methods;Quartets methods"
"69","Darwin T-REX","Distance matrix methods"
"70","DAWG","Simulation of trees or data"
"71","DendroMaker","Tree plotting/drawing"
"72","DENDRON","Distance matrix methods"
"73","DendroPy","General-purpose packages"
"74","Dendroscope","Tree plotting/drawing"
"75","DERANGE2","Computation of distances;Gene duplication and genomic analysis"
"76","DigTree","Tree plotting/drawing"
"77","DIPLOMO","Computation of distances"
"78","DISPAN","Distance matrix methods;Computation of distances;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"79","DISTANCE","Computation of distances"
"80","DISTREE","Computation of distances"
"81","DIVA","Biogeographic analysis and host-parasite comparison"
"82","DIVAGE","Computation of distances"
"83","DIVERGE","Comparative method analysis;Description or prediction of data from trees"
"84","DNA Stacks","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Sequence management/job submission"
"85","dnarates","Maximum likelihood methods"
"86","DNASIS","Distance matrix methods;Tree-based sequence alignment"
"87","DnaSP PAML","Computation of distances"
"88","Dnatree","Teaching about phylogenies"
"89","DPRML","Maximum likelihood methods;Sequence management/job submission"
